0,TypeError,unsupported operand type(s) for +: 'int' and 'str',0,,2024-06-15 23:09:24.359539
1,IndexError,index 66 is out of bounds for axis 0 with size 66,0,,2024-06-15 23:14:20.527852
2,AttributeError,'Table' object has no attribute 'shape',0,,2024-06-15 23:18:16.665365
3,AttributeError,'Table' object has no attribute 'shape',0,,2024-06-15 23:20:12.757940
4,AttributeError,'Table' object has no attribute 'shape',0,,2024-06-15 23:22:12.442293
5,AttributeError,'Table' object has no attribute 'shape',0,,2024-06-15 23:22:23.763860
6,AttributeError,'Table' object has no attribute 'shape',0,,2024-06-15 23:22:26.585974
7,SyntaxError,"'(' was never closed (4042264711.py, line 1)",0,,2024-06-15 23:24:50.811230
8,TypeError,Table.column() missing 1 required positional argument: 'index_or_label',0,,2024-06-15 23:27:12.394668
9,TypeError,unsupported operand type(s) for +: 'int' and 'str',0,,2024-06-15 23:39:02.572869
10,IndexError,index 66 is out of bounds for axis 0 with size 66,0,,2024-06-15 23:39:02.834108
